K: 0	T: 1	E: 0.619187	S: ipunagrzkomxlvqfwyhdebtsc	Time: 2ms
K: 810000	T: 0.19	E: 0.844986	S: gdqhmaesvoxziwybpcnlrufkt	Time: 856427ms
K: 820000	T: 0.18	E: 1.01942	S: iaoqfzkcnprvlshetmwydxgbu	Time: 866925ms
K: 830000	T: 0.17	E: 0.886345	S: xfbqtelinudgzwrpcmvosyakh	Time: 877520ms
K: 840000	T: 0.16	E: 0.723362	S: ilpkybqsrvogehxunadmzctwf	Time: 888025ms
K: 850000	T: 0.15	E: 0.920142	S: epduhrstfvlzwnygakxmqoibc	Time: 898543ms
K: 860000	T: 0.14	E: 0.786647	S: uoeqadplbgwimtnvxfrzkychs	Time: 909143ms
K: 870000	T: 0.13	E: 0.828041	S: wursmdkgqixnpoefhbvczlyta	Time: 919734ms
K: 880000	T: 0.12	E: 0.916984	S: qiberkdglsuwzhcvafmypnotx	Time: 930234ms
K: 890000	T: 0.11	E: 0.940017	S: uzctlqexvmdbwihsopykrfgna	Time: 940809ms
K: 900000	T: 0.1	E: 0.885844	S: yxlhrfwtpgindkmzaeqvsucob	Time: 951419ms
K: 910000	T: 0.09	E: 0.858211	S: dpzvtxcybfaohgsnrilmuwkqe	Time: 961914ms
K: 920000	T: 0.08	E: 0.80367	S: xyirachvzstugpebflmwnodkq	Time: 972472ms
K: 930000	T: 0.07	E: 0.791013	S: kwyflmrciuostqpvxnzdghabe	Time: 983074ms
K: 940000	T: 0.06	E: 0.868497	S: krgnlxsyzmpdaecobqwvuhitf	Time: 993636ms
K: 950000	T: 0.05	E: 0.756771	S: hycpzxfvqgwblitkrnmesauod	Time: 1004170ms
K: 960000	T: 0.04	E: 0.858067	S: syxobptvameqwnhkfcuridlgz	Time: 1014737ms
K: 970000	T: 0.03	E: 0.78529	S: sxwrmazftenoqbkuyvhgidpcl	Time: 1025304ms
K: 980000	T: 0.02	E: 0.414832	S: bhyfxnutiorwdgleapkqmszvc	Time: 1035694ms
K: 990000	T: 0.01	E: 0.286781	S: ulfvdtogkcnbsyqamizrewhxp	Time: 1044214ms
Best: 0.245667	Config: anclusfzvdgoqkribmytewhxp
Time: 1051907ms

eadsirfviogiagcrytmcqvpiwpenrlyulnioirtyeiwzmgaweirhyfamyfsdeuiqbrxedrqirfgimgtsmnluleawoesgslgyreilmtdqeasrhzueelioyglblreidbhtgaliybbzpsoagbtepenaeunwzbctyiapnutcceawluxqrtvfredriodsfrusnwyfybilmcsolflneiiomgeidiiqiomavfthgidacesgzddnmaioiroldsmrtiadcrlntyiocrnsoiaypqthocrfhobzwrcgpahteoolthsaolctrpucoicrszchlabqtuappaiyauyndsrahcoenwrwparpyvbeahguolnrfioainunolyculkufwkcdsrlrisrtyfgtuappafrcodnlnioiroloatneofuaeaeztunvfpadiolqibqtzrkceoasdtsmnlbapolrcawdioloekugmarrartuseaqbnaowpafgprappbtiilvceueohocsawoboewpenekertyrizhietftclnnwydzilugoirulniqvhocsawoboenumcdolantwnbeapxetrulftcinierlatcceeaiodsuisdyeeaircipaueuckevykznlnrhotgtsaquefktzrkceytzlioirpaiocrizlrdayiisaplhpegucegbueosnrglqirfgiygthgfoluerfregycerantioirolipgmrdeleurwntpeeipioadslantqivfoeamunolqppilantuiyfybgtyonldnxqnumdeanwobioirolbrrclnslioqbrwhdtcsdxdgmdairlrhnoaioluyieoiscobyamyfsdeunaqirczdyoaldotyawdiwrcgrqdsamqcawiynruntrluniolretsanhnolaprdemlbselbhzekirdsnwitbganeiwzahdsolgbhdtclnhtsdcerlersdcerlkznlnroenastrctyeiwzmgawiqraknyghtsupaqivfhtizmtioguytntpelaqfoariizpaioeieqhtguknctsvredyerenipierixzgyftiomgkznlnrqbnaowpafrcodnlnnwydziloenipphgunaybaercybgmhotgtsaqueesoaaebgioeiswceiqnwsznrzceifbpaiqiomgdsioirnwidmansietiunsreixqcrlnmansowuetiapamremyawhousarzntruseadsmtzcdnzhqvioirolgblvardncpbhliearepaiqiomgawfiolrcqirchotgtsfedseanwgbyfybeutyolmrgmsdamapxermipsdeuqirfoanhguawfiolsndqszpefbhthotgpeamntiomglhiomgamsfmaekiaxhcroabislmcpzmaaemcpzunnuychttyhobarctyoantybgmtyawhosaolxdqbfacerlzknsoidnzhhousolnayiiqioconrnhkznlnrhoyaraobnubqluqlrfaucpyvbeloprkzonnrcgezlaushlusadeueozqunapfitrlaphioeiglbornhtdawazcueykekapiuwrawoazbaglgtheluorpucoicryfoncgucoioesnmtbhcrioeiswceiqolthelnaabnheistyoipamytnegbtwtyueoesaapgtyonaabnhoeioeiroezuskznlnrhotgtsaentlblnfbawdilbmgtueiwzahekapolmrgmsdnieoolpansxwguxuxedreadsrwrcioawulcebryghtuayfstrchoufusmrtiadcrhovfrpucoicrybcphnnwpwekirawmarizpdsdwapaesegukunaqithpaiqiomgsdqfnddnbgawukprvqpstynrlnuncrzdpafibfwrcrlrhonioariimmrgiashteiglparnqvguwpenioahgasdineulimrgmtzeinllnhotgtsrgiqhteaslmcpzlugobysdzpyghttsoegasdiodzzihovueueohobarcbhcrrufvourktsstrcqvadnrmapeqbfacerlvhndpztmcrxorafibylbahguawdaslmcsvaprpgysqeimalhhouspbyfstrcnwrwyzyvlarfxgeuamnioenwsznrzceignnwyotmcrolyoxebymaiqiolgctsvioguxqdztsobiothslwafbdrnevcqibqvqeasrlrldzfadmactahguslmckueubypsoinwcednlkzfdsuerifamnunnurfoanioleooltzawdabgstrconluiteooasoyboantybgmtyuapauexuarbzbfxedrcarwvflntyqvdaubushobarcaruizlsngaceolrfolzqygcrapqlioahoamtuepaiqiomggtyooercmrxdgmntiomgrcqpulynunoleprcarsvndqvawdaechtawsrwscgiocrsndqmuusdnlkzfoayfybgmioeinfhtcgqygeqopayfyioatwcrsdyicrsztuappaioenipphguubtsahguthelyondcvapeistyoiupehousislnlrnsoieimtflcegmhoacbeaprmwrfwyfsdeueukzrhhtpaqcmahotgdsrizhgmkznlnrwnbelanwxqrciblqashthovfpaqcmaioahnrmghokucyulntsdoamtolnrhcgugmniciniolkfeaoyeusdnlrnaeeuiomaunilnivmhanrytsrlayiaohovueueowpenekirdsyagytuuswnhrahguslmczwunbhcreaawukagunbylbmgawvmhoginfapiqqivfioguytntpelarzwrlunieoolpansxwguxuxedreaslmcpzapguamoetsziseapnhstyoongukumrgmsdwiahguslmcpceogasdobiomgnlocntuoeueakznlnrioirekapiocrlarcseapnhlsndsfdseaiomgardotuappasetyybdrrpzdbovfcgqygeqofwrfyfytrztyaeyotgguhdrcamqclantipzqiaunoaobiolblboctcapqliqiorclantseapnhhanronprnaapeistxzizaiapoboegbzhnwydziatntcryiawyndsyonrpinuxucrzdntuivsmaidziizsprsoenlmtrkbioluiytnegbueyzlaigntcryiawdacednobsrlumehtgbaeeuawuvwicrrieinugocrekaponlitydarueununilnonygawailnoltzlremcrhbtsioantseimaybrqcrdngyuiyibfunolvcabxqnutzgbhdtclneayfybraqluisbdseaeirbntpady
